rank,title,authors,year,venue,citation_count,source,notes
81,"Code comment generation based on graph neural network enhanced transformer model for code understanding in open-source software ecosystems","L Kuang, C Zhou, X Yang",TODO_VERIFY,TODO_VERIFY,28,Google Scholar via Publish or Perish,
82,"TASSAL: Autofolding for source code summarization","J Fowkes, P Chanthirasegaran, R Ranca et al.",TODO_VERIFY,TODO_VERIFY,27,Google Scholar via Publish or Perish,
83,"Impact of evaluation methodologies on code summarization","P Nie, J Zhang, JJ Li, R Mooney et al.",TODO_VERIFY,TODO_VERIFY,27,Google Scholar via Publish or Perish,
84,"CrowdSummarizer: Automated generation of code summaries for Java programs through crowdsourcing","S Badihi, A Heydarnoori",TODO_VERIFY,TODO_VERIFY,26,Google Scholar via Publish or Perish,
85,"Interpretation-based code summarization","M Geng, S Wang, D Dong, H Wang et al.",TODO_VERIFY,TODO_VERIFY,25,Google Scholar via Publish or Perish,
86,"Code summarization: Do transformers really understand code?","AN Sontakke, M Patwardhan, L Vig et al.",TODO_VERIFY,TODO_VERIFY,25,Google Scholar via Publish or Perish,
87,"CoCoGUM: Contextual code summarization with multi-relational GNN on UMLs","Y Wang, L Du, E Shi, Y Hu, S Han et al.",TODO_VERIFY,TODO_VERIFY,25,Google Scholar via Publish or Perish,
88,"Towards modeling human attention from eye movements for neural source code summarization","A Bansal, B Sharif, C McMillan",TODO_VERIFY,TODO_VERIFY,24,Google Scholar via Publish or Perish,
89,"DocAgent: A multi-agent system for automated code documentation generation","D Yang, A Simoulin, X Qian, X Liu, Y Cao et al.",TODO_VERIFY,TODO_VERIFY,24,Google Scholar via Publish or Perish,
90,"Deep code-comment understanding and assessment","D Wang, Y Guo, W Dong, Z Wang, H Liu, S Li",TODO_VERIFY,TODO_VERIFY,24,Google Scholar via Publish or Perish,
91,"A prompt learning framework for source code summarization","T Xu, Y Miao, C Fang, H Qian, X Feng, Z Chen et al.",TODO_VERIFY,TODO_VERIFY,23,Google Scholar via Publish or Perish,
92,"Code summarization with abstract syntax tree","Q Chen, H Hu, Z Liu",TODO_VERIFY,TODO_VERIFY,23,Google Scholar via Publish or Perish,
93,"EyeTrans: Merging human and machine attention for neural code summarization","Y Zhang, J Li, Z Karas, A Bansal, TJJ Li et al.",TODO_VERIFY,TODO_VERIFY,23,Google Scholar via Publish or Perish,
94,"Can large language models serve as evaluators for code summarization?","Y Wu, Y Wan, Z Chu, W Zhao, Y Liu et al.",TODO_VERIFY,TODO_VERIFY,22,Google Scholar via Publish or Perish,
95,"Low-resources project-specific code summarization","R Xie, T Hu, W Ye, S Zhang",TODO_VERIFY,TODO_VERIFY,22,Google Scholar via Publish or Perish,
96,"READSUM: Retrieval-augmented adaptive transformer for source code summarization","Y Choi, C Na, H Kim, JH Lee",TODO_VERIFY,TODO_VERIFY,21,Google Scholar via Publish or Perish,
97,"Summarizing source code with hierarchical code representation","Z Zhou, H Yu, G Fan, Z Huang, X Yang",TODO_VERIFY,TODO_VERIFY,21,Google Scholar via Publish or Perish,
98,"Keyword-guided abstractive code summarization via incorporating structural and contextual information","W Cheng, P Hu, S Wei, R Mo",TODO_VERIFY,TODO_VERIFY,19,Google Scholar via Publish or Perish,
99,"Can developers prompt? A controlled experiment for code documentation generation","HA Kruse, T Puhlfurss, W Maalej",TODO_VERIFY,TODO_VERIFY,19,Google Scholar via Publish or Perish,
